Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
greedy-m,2.2179372917247333,29.922954571938064,2.7178705194803214,2.1888706250580667,0.029066666666666668,0.7528489111111111,5397773.644625903,-5397782.016441843,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
lego,2.2179372917247333,29.922954571938064,2.7178705194803214,2.1888706250580667,0.029066666666666668,0.7528489111111111,5397773.644625903,-5397782.016441843,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
drs,2.219553397240157,29.92457067745349,2.7178705194803214,2.189164508351268,0.030388888888888885,0.7530997111111111,5397773.644625903,-5397782.02452237,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
our,1.1890958756010392,14.642199114825928,2.399204167172848,1.160755752144249,0.02834012345679012,0.9935522814814814,3292833.544292299,-3292837.09056751,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
ffd-m,3.326229882223361,27.856143767552744,3.1670307410236425,3.2958632155566945,0.030366666666666674,0.775688162962963,7077554.938529332,-7077568.402648002,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
cds-m,3.326229882223361,27.856143767552744,3.1670307410236425,3.2958632155566945,0.030366666666666674,0.775688162962963,7077554.938529332,-7077568.402648002,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
random-m,3.3832156693909465,28.08766594933761,3.1837393431044068,3.35284900272428,0.030366666666666674,0.7673167407407407,7282554.938529333,-7282568.670868337,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
greedy-m,3.1244771129272975,25.454931877421522,2.977047097124453,3.096343779593964,0.028133333333333337,0.5996811555555556,6360754.771631302,-6360767.41696977,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
lego,3.326229882223361,27.856143767552744,3.1670307410236425,3.2958632155566945,0.030366666666666674,0.775688162962963,7077554.938529332,-7077568.402648002,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
drs,3.3832156693909465,28.08766594933761,3.1837393431044068,3.35284900272428,0.030366666666666674,0.7673167407407407,7282554.938529333,-7282568.670868337,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,9,51
