scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,deploy_algo,route_algo,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
small,3,400,6,30,4,random,proportional,346.0211633774749,5.965046833507871,0.12032958523586543,339.93578695873117,0,4,0.9166666666666666,0.9829508463541666
medium,5,400,6,30,4,random,proportional,145.07761476879034,8.319092733772347,0.12579518032874745,136.63272685468925,0,4,0.69375,0.8006591796875
large,7,400,6,30,4,random,proportional,27.24311781162325,2.146381050024179,0.1337321922316728,24.963004569367403,1,4,0.6607142857142857,0.7831813267299107
