step,load_factor,cpu_factor,gpu_factor,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
0,1.274,0.963,1.215,30.231862030378043,3.7135779984674073,0.1032616873285072,26.415022344582127,0,4,0.6682569442473544,0.6053092847511209
1,1.197,0.757,1.285,48.92918968648947,3.4159364739288627,0.09547724748835369,45.41777596507225,0,4,0.6609329335856826,0.4437510044273537
2,1.261,1.172,0.777,38.13013619798505,3.1537334713893443,0.10534481358645145,34.87105791300925,0,4,0.5707818175403598,0.9914514083619034
3,0.95,0.922,1.256,23.14307192229567,12.911038326518602,0.10059337981528634,10.131440215961781,1,4,0.6571966645137612,0.5490865176457471
4,1.144,1.194,0.966,10.948507253861669,2.438798326030457,0.100941068832807,8.408767858998404,0,4,0.6597372789137368,0.9276751439684038
5,0.727,1.033,0.738,4.313150133233963,1.0510503240230282,0.1075824881216815,3.154517321089253,3,4,0.6233352276166471,0.9944321822137957
6,1.328,1.079,1.155,25.42766446907753,3.2871441779008124,0.10424234685690678,22.03627794431981,0,4,0.6661268825611214,0.7106772827599778
7,0.855,1.282,1.236,0.6950645483540995,0.59654550579002,0.09851904256407956,0.0,4,4,0.662809988670229,0.781300857412623
8,1.278,0.817,0.98,37.68428282355904,3.306157570353427,0.09613711747649176,34.281988135729115,0,4,0.6657213120314429,0.6341092658430362
9,0.544,0.793,1.11,0.8600311512674719,0.7594239774468753,0.10060717382059649,0.0,4,4,0.6623989707867785,0.5400076997416546
10,1.245,1.281,0.895,23.036605212807423,2.823954223547377,0.10191712622979003,20.110733863030255,1,4,0.6052295710939558,0.9971105372802248
11,0.87,0.982,0.814,7.832778125478717,1.6626837960169647,0.09753899540136983,6.072555334060382,1,4,0.6620941515823745,0.9108734943168075
12,0.63,0.985,0.836,0.7162392965592121,0.6164015201819406,0.09983777637727162,0.0,4,4,0.6596152405591296,0.8864031587509975
13,1.17,0.962,1.2,23.781839575163456,2.8580298620539497,0.10660877311297945,20.817200939996525,0,4,0.6624814112893723,0.6078549573192756
14,1.2,0.887,1.199,32.38836706362021,3.631136347937213,0.09748640453712264,28.65974431114588,0,4,0.6690744068765382,0.561896251968494
