scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,deploy_algo,route_algo,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
medium,5,400,6,10,4,random,proportional,121.71341222823973,4.513602541552815,0.11940221389791789,117.08040747278902,0,4,0.6625,0.75838623046875
medium,5,400,6,20,4,random,proportional,134.2963698957282,6.0,0.12085760713222701,128.17551228859597,0,4,0.6625,0.6714111328125
medium,5,400,6,30,4,random,proportional,145.07761476879034,8.319092733772347,0.12579518032874745,136.63272685468925,0,4,0.69375,0.8006591796875
medium,5,400,6,40,4,random,proportional,188.96964416072473,5.875655581035563,0.12288029031064478,182.9711082893785,0,4,0.7125,0.7428466796875
medium,5,400,6,50,4,random,proportional,187.35429337436352,5.930076005999915,0.12415491284198768,181.3000624555216,0,4,0.73125,0.7408447265625
medium,5,400,6,60,4,random,proportional,184.46967520971884,5.900896580336579,0.13484984791319762,178.43392878146906,0,4,0.7625,0.86881103515625
medium,5,400,6,70,4,random,proportional,196.07105968565526,5.866975297233389,0.1321411411500225,190.07194324727183,0,4,0.7875,0.89632568359375
medium,5,400,6,80,4,random,proportional,177.0694570452613,5.899895487180934,0.12443952490540931,171.04512203317495,0,4,0.8125,0.88525390625
