scale,n_nodes,total_rate,chain_length,n_service_types,n_chains,deploy_algo,route_algo,avg_delay,avg_comp_delay,avg_comm_delay,total_penalty,stable_chains,total_chains,cpu_utilization,gpu_utilization
medium,5,400,3,30,4,random,proportional,24.158971039405262,2.1172141673375195,0.05094386383825797,21.990813008229484,1,4,0.71875,0.83857421875
medium,5,400,4,30,4,random,proportional,51.09446362016345,3.3260807832329293,0.07518711902957217,47.69319571790095,0,4,0.70625,0.78896484375
medium,5,400,5,30,4,random,proportional,101.36198302157807,4.0163452820894046,0.10370484448649842,97.24193289500218,0,4,0.70625,0.84248046875
medium,5,400,6,30,4,random,proportional,145.07761476879034,8.319092733772347,0.12579518032874745,136.63272685468925,0,4,0.69375,0.8006591796875
medium,5,400,7,30,4,random,proportional,205.33300466389147,6.932048066625234,0.1532759804942491,198.247680616772,0,4,0.68125,0.80142822265625
medium,5,400,8,30,4,random,proportional,263.9944210060377,7.898861823300244,0.17050799962027183,255.92505118311718,0,4,0.7,0.82413330078125
medium,5,400,9,30,4,random,proportional,328.95173153857115,8.906474688116635,0.2006522924023177,319.8446045580522,0,4,0.69375,0.8176025390625
medium,5,400,10,30,4,random,proportional,471.7801287738441,9.938788761434934,0.21467915018228945,461.62666086222686,0,4,0.675,0.79031982421875
