Step,Algorithm,Load_Factor,Capacity_Factor,Total_Delay_D_mean,Total_Delay_D_std,Avg_QoS_Q_mean,Comp_Delay_mean,Comm_Delay_mean
0,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
0,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
0,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
0,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
0,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
0,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
0,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
1,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
1,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
1,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
1,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
1,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
1,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
1,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
2,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
2,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
2,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
2,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
2,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
2,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
2,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
3,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
3,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
3,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
3,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
3,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
3,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
3,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
4,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
4,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
4,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
4,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
4,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
4,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
4,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
5,cds-m,1.0,1.0,0.07877787207310256,0.023542127463221676,2.481467896937404,0.06260490911013959,0.016172962962962965
5,drs,1.0,1.0,0.10794343888926579,0.027241974596124343,2.8407814152848836,0.0744769574077843,0.03346648148148148
5,ffd-m,1.0,1.0,0.07930320138073721,0.027979019583728348,2.842755556466259,0.06721801619555204,0.012085185185185185
5,greedy-m,1.0,1.0,0.10042602022125072,0.011447117255157948,2.481467896937404,0.06260490911013959,0.03782111111111111
5,lego,1.0,1.0,0.07387399484025514,0.026809396099257535,2.587784173518977,0.06259769854395884,0.011276296296296295
5,our,1.0,1.0,0.22829108782213264,0.1633834416019821,3.4817739281321636,0.1988249544887993,0.02946613333333333
5,random-m,1.0,1.0,0.10390968286221869,0.020035476906735298,2.842755556466259,0.06721801619555204,0.036691666666666664
6,cds-m,1.2249,0.8750600000000001,1.0461093446094878,0.8282760589257291,2.4813831880816477,1.0299608055692064,0.016148539040281424
6,drs,1.2249,0.8750600000000001,1.0654875899784453,0.9389059498799481,2.8407584682013067,1.0320334064912067,0.03345418348723855
6,ffd-m,1.2249,0.8750600000000001,0.7278111829790318,0.5451978392715343,2.8428171840412317,0.7157326936805367,0.012078489298495152
6,greedy-m,1.2249,0.8750600000000001,1.0678025091368513,0.8237630321792734,2.4813831880816477,1.0299608055692064,0.03784170356764488
6,lego,1.2249,0.8750600000000001,0.9773838509823506,0.6043995089099429,2.5876233459876414,0.9661134840803683,0.011270366901982253
6,our,1.2249,0.8750600000000001,0.5275718902649321,0.5458175083992957,3.3015315094640805,0.49375601234622185,0.0338158779187102
6,random-m,1.2249,0.8750600000000001,0.7524126255401207,0.5352619269572577,2.8428171840412317,0.7157326936805365,0.03667993185958419
7,cds-m,1.44982,0.75008,1.270900356910494,0.41470628781418833,2.481173481725979,1.2547111645828075,0.016189192327686418
7,drs,1.44982,0.75008,1.4693938498212928,0.4879131160691384,2.8405275114401016,1.4359218141510912,0.03347203567020178
