Time_Step,Load_Factor,Avail_Flops_Ratio,Avail_Params_Ratio,Avg_Delay(s),Avg_QoS,Avg_Accuracy,Penalty(0=Safe)
1,1.407786880488156,1.10080904342728,0.9757210235687619,0.07356770204791706,2.5962069735988837,95.25650595338213,657.5724513234286
2,1.024119833954539,0.8733684452250947,1.06478162645104,0.11498692029367016,3.47918801060479,120.23820828543234,301.61892016172004
3,0.8391881240889948,0.8208209154802957,0.8624967447196554,0.14687115241715912,4.1977942328197875,145.45265418022777,166.62008916820673
4,0.7442819681832288,0.7655995265616864,0.9589290068335249,0.16916243498984213,4.498983085917703,140.4511600941114,0.6157669749712646
5,1.4225512311423574,1.2192908588952511,1.2660286098288442,0.08860736057562679,3.107958078556135,124.43500288145472,0.0
6,0.7894394850869398,0.88743744680891,0.7930180418263777,0.15901460761516503,4.899902841489871,173.0512902217023,73.29946490417338
7,1.2392619634887443,0.9384196998925556,0.9953578125296004,0.1455727469751379,3.469420452703038,130.42388018446854,0.0
8,0.5883386719616251,1.2242715171844782,1.1235502915176228,0.19875980633869345,7.789080592524522,306.6249787728504,0.0
9,0.5779279448297212,1.1320574078375363,1.127572834292379,0.21150118379662453,8.003888463237868,314.98978646669855,0.0
10,0.6704916684999187,0.8221117107838282,0.7098144201421668,0.2261408406108971,6.219709831952213,225.09238221721253,58.60648191469991
11,1.1412212353264488,0.9954718586918079,1.0028303845410078,0.13711955353699629,4.007289645265154,157.64444092117398,0.0
12,1.467515697625685,1.2003890355411082,0.9248387876120424,0.1002990082894693,3.1121905836079895,122.43176511403888,0.0
13,1.301083273198976,0.7974433451695543,0.8415116396164957,0.19875229018649995,3.4445388886199364,137.1261286909163,0.017520057525649668
14,1.1614404091835255,1.1844200221436239,1.1728231424867999,0.11123178994687177,3.937597651434456,154.90279847037095,0.0
15,1.4924693716164015,1.148104491096498,1.1301112195653298,0.09481346677377225,3.049318046565404,119.95839612183607,0.0
16,0.5857406849181738,1.200625144890557,1.088879947929395,0.19884931768155673,7.875195302868913,309.8055969407419,0.0
17,0.9085710561246578,1.2830533716842143,1.1991299370366888,0.12744727669230718,5.059483015809636,199.03711535299058,0.0
18,1.122515877259592,0.9371303484493084,0.7413939702104071,0.1461898156986163,3.98600194902959,159.51767154914114,70.36303340531681
19,1.2593853097912433,0.9674322996975419,1.0489009668889118,0.13186027942018347,3.6081572104777884,141.94280337922436,0.0
20,1.347949497078977,0.8268126436522548,0.7102614860713123,0.1819375373515129,3.26230419342691,127.82130464116591,51.429001446515755
21,0.8696837045916131,0.9231071258909289,1.185549311301179,0.16486277640649638,5.296183975613596,208.34879326424158,0.0
22,1.4915855763094752,1.0023670591819285,1.1333601681396037,0.10485190040868547,3.0493180465654035,119.95839612183607,0.0
23,1.409016433340096,1.0551741171845848,1.1772903733966906,0.10124139575782211,3.234455213678303,127.24158445780469,0.0
24,0.7927062950941192,1.1006586380945087,0.820690628833019,0.1547809590601344,5.025206916219277,157.82438339078487,58.66573802514144
25,0.6467274468094061,1.1127613623377428,0.9810602923435875,0.19263111726656656,7.131082360865551,280.5326271510655,0.0
26,0.8364172905371633,0.9661942943397779,0.9523193460251534,0.17008036770226154,5.455707589336897,214.62435932641756,0.0
27,1.4230772748558314,1.1223825545050938,1.144218149161743,0.09785800882862851,3.1956510218854572,125.89069476421078,0.0
28,1.1142697203286132,1.1526552639293866,1.1448420386931515,0.11344529435290011,4.093282396858986,161.20894908398105,0.0
29,1.3350063972171462,0.7531406646536084,0.8230235184958948,0.2299620078917037,3.3464213442720045,133.5543430556106,31.75694890246308
30,1.475785736314773,0.7912767941205113,0.7782063304139585,0.24060207567725903,2.4847149045630834,77.70988009450798,0.0
31,0.7335711801783965,1.2503139159863847,0.9759833781174772,0.16100177380524688,6.289218471041146,247.41419200128692,0.0
32,1.3895599393501477,0.8943448834856382,0.9846278433512952,0.1342057462075691,3.2769688454776134,129.0836960052738,0.0
33,1.1512122176482886,1.1589304930881104,0.7063100953443765,0.11663169792618483,3.900715042314325,154.48627839578631,66.04235249171765
34,0.6622351644027726,0.922749231372652,0.9409678059972612,0.2101978695371921,6.956686455335264,274.0543586020896,0.0
35,1.329138602534166,1.2597633565924304,1.0042420696223064,0.09594068321613342,3.4435264632316542,135.4663256584993,0.0
36,1.3770804182589285,1.233404456025192,0.9687301839933748,0.09560002703419906,3.305282700109215,130.0278965262238,0.0
37,1.221961277676065,0.8623778405535185,1.047780445745146,0.14632693256366258,3.742344875330268,147.2216679677079,0.0
