Time_Step,Load_Factor,Avail_Flops_Ratio,Avail_Params_Ratio,Avg_Delay(s),Avg_QoS,Avg_Accuracy,Penalty(0=Safe)
1,1.234023080771561,1.052343425045097,1.0031699872199913,0.1309626531810217,4.149188847266145,113.05949791410642,5536.406386419008
2,1.3010771293938301,1.1666331111754067,1.2013393810501944,0.1186284885372207,3.8791375865560247,106.01875701081484,4465.548980897296
3,1.262337893413707,0.8736971094621525,0.8274358617191999,0.1419638634567259,3.9949688153513696,108.99600539790845,4057.19157319484
4,1.1622947024510926,1.2381572220042592,1.2998171499204174,0.1312352729407107,4.333775108115263,119.01432207879134,3077.8364125835615
5,1.1891788237458412,0.8708656446373307,0.703127184574695,0.17031749863628964,4.198901120951551,113.10830573932961,3154.75314219657
6,0.5331168241557324,0.9367542143296158,0.9925737940905026,0.31638347722031085,9.446436426868067,253.9774153413274,2244.3032572049724
7,1.4580726958777672,1.2584566883140746,0.8854054405909823,0.11272938529014695,3.4152570280623187,91.83813900676617,2075.3940043794687
8,1.3690258270106619,0.7941523041784766,1.070902604046255,0.6586040984884074,3.6363603816323313,97.63093684220786,1648.3887457514322
9,0.7408320034955447,0.70546484899841,0.8953612944345578,0.28149704167828943,6.688141574217449,177.25460535591736,1587.5044868437142
10,1.1443366807525552,0.862716688041294,1.1631134059308819,0.1852116020661927,4.2948921963192275,113.49208581915529,1016.0725027725739
11,1.4507615995419931,0.9771717869221073,0.7241901796889787,0.20698857245319863,3.3190772843806253,85.53428027134157,1272.9106173265725
12,1.4583441403483024,0.7864960157842154,0.9616075442115346,0.37199857047209595,3.304392206267238,85.20741361760848,931.7327445778886
13,0.9326566542372633,1.242885980758237,1.084436422791304,0.16626560095179194,5.134436154036436,132.28782532090418,687.5974810691307
14,0.686301960405285,0.8375017143188945,0.8158126654544495,0.26507030280130833,6.9228134445597895,179.1532586856964,894.652568272828
15,1.4242434222298428,0.8253522347048431,0.7337453372921695,0.22361321225283867,3.287450817875564,85.39032888618101,893.850483843222
16,1.1390887410122814,1.2985260793788798,1.1172983226871769,0.1362449999718161,4.104444085959595,105.55819988367142,450.5918671784643
17,1.2849776382704095,0.7298208011807577,1.0603722858663513,0.3118714377248748,3.6047055572142024,92.7075663652002,445.2118468403311
18,1.1445865234735093,1.1507616091961805,0.9262193697872633,0.1451749553068097,4.000436457833085,102.09189262475098,534.5068467233737
19,0.8907009351552804,0.9556082448896251,1.2533056721576354,0.19688980909583798,5.109929134399755,129.63815871514933,170.68319823448275
20,1.051220767616098,1.0788830387346378,1.0147146392277018,0.15996180604251556,4.295773849287744,109.36368099959867,394.83287281091305
21,1.229493738911915,0.8559454659450924,0.7513647371717112,0.18581384446250365,3.6437773369861644,92.73543242916841,653.3021319697034
22,1.415658477941256,0.7890125760395272,0.79648238517697,0.2961810258327713,3.154400783381805,80.15603934012087,601.7310675641816
23,0.6827546622018426,0.7878793794805794,1.1655772361891674,0.2734855831111686,6.559833126559272,164.27392417515608,213.67024200137416
24,1.0075921632889453,1.1940790445417306,0.8742550121419623,0.15538904621561184,4.394035848645843,110.2381878924333,517.9905362509395
25,1.1197773221898286,0.9479243657840644,0.724073133565868,0.16881695601436647,3.9480740013205935,99.04983449439531,675.1020737558385
26,0.6774726755771643,0.9964450554638602,1.0778550427957618,0.23876137329014324,6.547548467536628,164.26581463179423,303.6310690644501
27,0.7273539661833641,0.8779516286227356,0.9475696048024833,0.24108027444436192,6.09495295134746,152.91103481853654,440.43077895739253
28,0.5238275095175846,0.7684907377540097,0.8712951414909742,0.34423356724558896,8.532934131886446,214.07544874595118,520.5189654344771
29,0.8801431175069097,1.2926488917839745,1.1659551535382515,0.16947043872312734,5.067451304377007,127.13292933188671,211.1259527848359
30,1.3809620891198828,0.8843262498659041,1.0256536565381584,0.18096792333986367,3.210205802044657,80.53809358160784,358.44252463493365
31,1.1366857198837463,1.2194488418389005,0.81410476279444,0.13933522006209303,3.8900140895364674,97.59321928124243,580.5688630658381
32,1.4040878590347723,1.013212200128764,1.0507634591958268,0.14410801100500722,3.1490590248628547,79.00403465624387,332.0772318443818
33,1.0259328216981962,1.1808212418609783,1.0063416531083642,0.15428299766334128,4.322237877262742,108.43691031249159,378.7201282362177
34,0.6664607904775026,1.1114306202724897,0.7757040126036201,0.23123120928639745,6.67982217395151,167.58431593748702,620.8896507661989
35,1.47468146616833,0.8554469082661136,0.7868120816610771,0.22149975032825575,2.9991038332027187,75.24193776785133,609.2261782558691
36,0.8157409245566203,1.001060594545513,0.9932897580087948,0.20449225407674376,5.465309051414871,137.1144403124894,392.42461809076553
37,0.6017998735402605,1.2738432046510073,0.7297458957140389,0.24078979750458432,7.388853577890497,185.3725952828069,669.1456735002591
38,0.7832662477284487,1.154217074294574,1.1168837646634369,0.19672990408022578,5.676415409624029,142.41070624730656,262.65091110339137
39,0.5888920605752764,0.8337522234425061,1.0354800095874674,0.2964317869337444,7.55774165967085,189.60968317498532,348.12485393315916
40,0.9660652760946037,1.0747158725983934,0.8415051916652688,0.1712102331305077,4.60837906077491,115.61566047255202,551.7984127514677
