index,Experiment,Variable_Value,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Total_Delay_D_count,Avg_QoS_Q_mean,Avg_QoS_Q_std,Avg_QoS_Q_count,Comp_Delay_mean,Comp_Delay_std,Comp_Delay_count,Comm_Delay_mean,Comm_Delay_std,Comm_Delay_count,Mem_Utilization_mean,Mem_Utilization_std,Mem_Utilization_count,Penalty_Score_mean,Penalty_Score_std,Penalty_Score_count,Fitness_mean,Fitness_std,Fitness_count
0,n_task_types,3,cds-m,0.10234272385859315,9.25185853854297e-18,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.027499999999999997,4.006172263299091e-18,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.1885161910887794,4.681111291435602e-16,10
1,n_task_types,3,drs,0.10352209885859316,0.0015692549818039977,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.028679374999999997,0.0015692549818039998,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.182619316088779,0.007846274909019948,10
2,n_task_types,3,ffd-m,0.07484272385859317,1.0343892305196971e-17,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.0,0.0,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.3260161910887787,2.9605947323337506e-16,10
3,n_task_types,3,greedy-m,0.10234272385859315,9.25185853854297e-18,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.027499999999999997,4.006172263299091e-18,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.1885161910887794,4.681111291435602e-16,10
4,n_task_types,3,lego,0.10234272385859315,9.25185853854297e-18,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.027499999999999997,4.006172263299091e-18,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.1885161910887794,4.681111291435602e-16,10
5,n_task_types,3,our,0.04910971074943552,0.0013470349368721298,10,2.5851012091469943,0.029788979363621206,10,0.02290083690796755,0.001256610841274879,10,0.026208873841467965,0.0007923998155748911,10,0.6366421104444444,0.03289794243673981,10,0.0,0.0,10,2.3395526553998165,0.024135614401565506,10
6,n_task_types,3,random-m,0.10181959885859315,0.0025115212818739054,10,2.700229810381745,2.9605947323337506e-16,10,0.07484272385859317,1.0343892305196971e-17,10,0.026976875,0.0025115212818739067,10,0.17370882666666668,0.0,10,0.0,0.0,10,2.191131816088779,0.01255760640936959,10
7,n_task_types,4,cds-m,0.13711001490247368,0.0003209178730610026,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.04063125,0.0003209178730610081,10,0.24797851555555556,0.0,10,0.0,0.0,10,2.9801222564787606,0.0016045893653051026,10
8,n_task_types,4,drs,0.13928813990247368,0.0010866625527146112,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.042809375,0.0010866625527146088,10,0.24797851555555556,0.0,10,0.0,0.0,10,2.9692316314787606,0.0054333127635729445,10
9,n_task_types,4,ffd-m,0.09647876490247367,6.542051911182396e-18,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.0,0.0,10,0.24797851555555556,0.0,10,0.0,0.0,10,3.1832785064787608,2.0934566115783667e-16,10
10,n_task_types,4,greedy-m,0.13711001490247368,0.0003209178730610026,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.04063125,0.0003209178730610081,10,0.24797851555555556,0.0,10,0.0,0.0,10,2.9801222564787606,0.0016045893653051026,10
11,n_task_types,4,lego,0.13711001490247368,0.0003209178730610026,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.04063125,0.0003209178730610081,10,0.24797851555555556,0.0,10,0.0,0.0,10,2.9801222564787606,0.0016045893653051026,10
12,n_task_types,4,our,0.06591864694099689,0.0019312519436544512,10,3.457175524489928,0.04416856097641056,10,0.026020603022121575,0.0019583525649221286,10,0.0398980439188753,0.00038897832604812334,10,0.8789018648888888,0.0750596424094639,10,0.0,0.0,10,3.1275822897849435,0.035203310029563346,10
13,n_task_types,4,random-m,0.13616282740247368,0.0027198614626241626,10,3.6656723309911294,5.538765574740299e-16,10,0.09647876490247367,6.542051911182396e-18,10,0.0396840625,0.0027198614626241643,10,0.24797851555555556,0.0,10,0.0,0.0,10,2.98485819397876,0.013599307313120968,10
14,n_task_types,5,cds-m,0.27595972546908326,0.00044221004310422143,10,4.471466928756348,4.1869132231567334e-16,10,0.22359272546908326,2.6168207644729584e-17,10,0.05236700000000001,0.0004422100431042027,10,0.6372197822222222,0.0,10,0.0,0.0,10,3.091668301410931,0.002211050215521164,10
15,n_task_types,5,drs,0.27676078796908327,0.0038380101616421053,10,4.471466928756348,4.1869132231567334e-16,10,0.22359272546908326,2.6168207644729584e-17,10,0.0531680625,0.0038380101616421057,10,0.6372197822222222,0.0,10,0.0,0.0,10,3.0876629889109313,0.019190050808210533,10
16,n_task_types,5,ffd-m,0.2512527254690833,0.002431076579076299,10,4.471466928756348,4.1869132231567334e-16,10,0.22359272546908326,2.6168207644729584e-17,10,0.02766,0.0024310765790762994,10,0.6372197822222222,0.0,10,0.0,0.0,10,3.2152033014109316,0.012155382895381702,10
