algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_class_scene,perf_normal,perf_autoencoder,perf_jigsaw
RLS,2266.98,0.5772,0.4228,25.06,264.49,90,0.0421,4342,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
OURS,74.5,1.0,0.0,43.42,222.67,36,0.0105,4342,-0.8631,18.1004,39.6148,39.9632,0.5212,0.5222,0.0199
