algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_jigsaw,perf_segmentsemantic,perf_class_object,perf_normal,perf_autoencoder,perf_class_scene
RLS,2412.54,0.5435,0.4565,16.0,264.49,90,0.0421,1472,-0.6269,64.6198,24.6527,50.5474,0.5803,0.5397,62.4154
DRS,1598.2,0.7221,0.2779,21.26,264.49,90,0.0421,1472,-0.6269,64.6198,24.6527,50.5474,0.5803,0.5397,62.4154
