algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_class_scene,perf_normal,perf_autoencoder,perf_jigsaw
RLS,4116.05,0.1879,0.8121,8.16,264.49,90,0.0421,4342,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
OURS,1904.93,0.6244,0.3756,27.11,177.26,24,0.0064,4342,-1.1161,17.5267,31.0123,10.6312,0.5154,0.5049,2.4896
