perturb_value,algorithm,avg_latency_ms,success_rate,sla_violation_rate,node_utilization_avg
1,RLS,1735.81,0.6973,0.3027,0.0421
1,OURS,64.61,1.0,0.0,0.0061
3,RLS,3166.73,0.3894,0.6106,0.0421
3,OURS,154.63,1.0,0.0,0.0132
5,RLS,3887.23,0.2368,0.7632,0.0421
5,OURS,842.7,0.8594,0.1406,0.0132
8,RLS,4215.29,0.1627,0.8373,0.0421
8,OURS,1990.89,0.6121,0.3879,0.0069
