algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_class_scene,perf_normal,perf_autoencoder,perf_jigsaw
OURS,190.55,0.9977,0.0023,43.84,173.84,46,0.0107,2197,-0.9073,12.3817,37.806,31.2483,0.4447,0.3273,7.7359
RLS,3011.02,0.4201,0.5799,18.46,264.49,90,0.0421,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
FFD,3517.7,0.3163,0.6837,13.9,264.49,36,0.0114,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
DRS,2387.87,0.5512,0.4488,24.22,264.49,90,0.0421,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
LEGO,1863.81,0.6645,0.3355,29.2,302.13,70,0.0363,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
GREEDY,3575.06,0.2995,0.7005,13.16,264.49,66,0.0319,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
PSO,1912.2,0.6545,0.3455,28.76,295.98,74,0.0377,2197,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
STATIC,1732.83,0.6609,0.3391,29.04,153.0,11,0.0032,2197,-0.8631,18.0389,39.6148,39.9632,0.5214,0.5197,0.0199
RESOURCE_FIRST,1718.38,0.6632,0.3368,29.14,147.79,11,0.0031,2197,-1.1613,5.4201,29.4337,5.837,0.2756,0.0346,0.0896
ACCURACY_FIRST,1732.83,0.6609,0.3391,29.04,153.0,11,0.0032,2197,-0.8631,18.0389,39.6148,39.9632,0.5214,0.5197,0.0199
