algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_segmentsemantic,perf_room_layout,perf_class_object,perf_normal,perf_jigsaw,perf_autoencoder,perf_class_scene
RLS,4215.29,0.1627,0.8373,19.33,264.5,90,0.0421,11882,24.6527,-0.6269,50.5474,0.5803,64.6198,0.5397,62.4154
OURS,1990.89,0.6121,0.3879,72.73,147.06,34,0.0069,11882,17.9469,-1.1029,31.5131,0.5138,6.5597,0.451,10.9226
