algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_normal,perf_jigsaw,perf_autoencoder,perf_class_scene
RLS,3887.23,0.2368,0.7632,18.16,264.51,90,0.0421,7669,-0.6269,24.6527,50.5474,0.5803,64.6198,0.5397,62.4154
OURS,842.7,0.8594,0.1406,65.91,190.43,47,0.0132,7669,-0.9377,13.3265,37.0745,0.4142,6.682,0.2048,29.9155
