algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_segmentsemantic,perf_class_object,perf_class_scene,perf_normal,perf_autoencoder,perf_jigsaw
RLS,3138.16,0.3954,0.6046,17.17,264.49,90,0.0421,4342,-0.6269,24.6527,50.5474,62.4154,0.5803,0.5397,64.6198
OURS,178.58,0.9988,0.0012,43.37,172.41,53,0.0126,4342,-0.9152,11.2959,37.487,29.1237,0.4304,0.2974,12.7518
