algorithm,avg_latency_ms,success_rate,sla_violation_rate,throughput,avg_pull_delay_ms,pull_count,node_utilization_avg,total_requests,perf_room_layout,perf_autoencoder,perf_class_object,perf_normal,perf_jigsaw,perf_class_scene,perf_segmentsemantic
RLS,1735.81,0.6973,0.3027,10.69,264.49,90,0.0421,1533,-0.6269,0.5397,50.5474,0.5803,64.6198,62.4154,24.6527
OURS,64.61,1.0,0.0,15.33,214.45,18,0.0061,1533,-0.8631,0.5203,39.6148,0.5214,0.0199,39.9632,18.0463
