algorithm,avg_latency,avg_queuing,avg_communication,avg_qos,total_penalty,mem_utilization,success_rate,deployment_cost,fitness,param,value
our,254.50833333333333,193.70833333333334,60.800000000000004,0.7882513558470938,0.0,0.2716431977777778,1.0,4,0,arrival_rate,100.0
ffd-m,0.22149155366141582,0.20009155366141582,0.0214,0.0,0.0,0.19551251333333333,1.0,3,0,arrival_rate,100.0
our,247.74166666666667,187.04166666666666,60.699999999999996,0.8041027567566081,0.0,0.2716431977777778,1.0,4,0,arrival_rate,200.0
ffd-m,0.258955288313865,0.200355288313865,0.0586,0.0,0.0,0.19551251333333333,1.0,3,0,arrival_rate,200.0
our,252.15277777777777,190.51944444444445,61.633333333333326,0.7974710296771101,0.0,0.2716431977777778,1.0,4,0,arrival_rate,300.0
ffd-m,0.2312085070648169,0.20034184039815026,0.03086666666666667,0.0,0.0,0.19551251333333333,1.0,3,0,arrival_rate,300.0
