index,Experiment,Variable_Value,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Total_Delay_D_count,Avg_QoS_Q_mean,Avg_QoS_Q_std,Avg_QoS_Q_count,Comp_Delay_mean,Comp_Delay_std,Comp_Delay_count,Comm_Delay_mean,Comm_Delay_std,Comm_Delay_count,Mem_Utilization_mean,Mem_Utilization_std,Mem_Utilization_count,Penalty_Score_mean,Penalty_Score_std,Penalty_Score_count,Fitness_mean,Fitness_std,Fitness_count
0,chain_length,3,CDS,0.1479213483311124,0.0322813151172134,5,2.6828155173043613,0.033819596996586,5,0.1170168532332852,0.0312565645973005,5,0.0163912761904761,0.0043641214504716,5,0.7795179973333333,0.1168458675190193,5,0.0,0.0,5,2.0157748701855542,0.1897120410387217,5
1,chain_length,3,DRS,0.5816467633631335,0.0322391639478559,5,2.6828155173043613,0.033819596996586,5,0.1170168532332852,0.0312565645973005,5,0.0264025904761904,0.0032097282529205,5,0.7857802979528412,0.1168458675190193,5,0.0,0.0,5,1.9657182987569823,0.1899418239101637,5
2,chain_length,3,FFD,0.1375283198999519,0.0383814299436733,5,2.6828155173043613,0.033819596996586,5,0.1170168532332852,0.0312565645973005,5,0.0205114666666666,0.0074030302680803,5,0.7902869227018843,0.1168458675190193,5,0.0,0.0,5,1.995173917804602,0.2190262630653286,5
3,chain_length,3,GREEDY,0.1418397862045351,0.0274274393963686,5,2.68081714461137,0.0375633955291841,5,0.1150751195378684,0.027966056868981,5,0.0267646666666666,0.0012704855786045,5,0.7742284684444445,0.1098366816848625,5,0.0,0.0,5,1.9716182135886944,0.1679408730135777,5
4,chain_length,3,LEGO,0.0855750505976411,0.0322813151172134,5,2.6828155173043613,0.033819596996586,5,0.1170168532332852,0.0312565645973005,5,0.0163912761904761,0.0043641214504716,5,0.7850315564731664,0.1168458675190193,5,0.0,0.0,5,2.0157748701855542,0.1897120410387217,5
5,chain_length,3,Ours,0.0547033087260515,0.0127339017602208,5,2.0643634113907643,0.2001648297166142,5,0.0329073067924985,0.0097807676650585,5,0.021796001933553,0.0054150848507498,5,0.949295156888889,0.0343530968144403,5,400.0,547.7225575051662,5,-398.2091531322395,547.8643472527344,5
6,chain_length,3,RLS,0.384724026794089,0.0323121211547005,5,2.6828155173043613,0.033819596996586,5,0.1170168532332852,0.0312565645973005,5,0.0247625714285714,0.0024286689429535,5,0.7866389644015362,0.1168458675190193,5,0.0,0.0,5,1.9739183939950784,0.1891073459134436,5
7,chain_length,4,CDS,0.2748210042649432,0.1578130797281484,5,3.589158899016545,0.022897163894146,5,0.2140801330410642,0.1576916600407194,5,0.0286842944606413,0.0033434012753785,5,0.9003524377777777,0.0725313215464251,5,4785.788443033914,10701.34828455671,5,-4783.413106272406,10702.147088835383,5
8,chain_length,4,DRS,0.9666004752974168,0.1554685004278189,5,3.589158899016545,0.022897163894146,5,0.2140801330410642,0.1576916600407194,5,0.036934671201814,0.004339339899242,5,0.8909259243393659,0.0725313215464251,5,2392.894221516957,5350.674142278355,5,-2390.5601366391547,5351.462324660167,5
9,chain_length,4,FFD,0.1852976381178018,0.0263150723896741,5,3.58465349242946,0.0298603868626205,5,0.1497523028408339,0.0180976759459508,5,0.0355453352769679,0.009494797238879,5,0.8963194026462095,0.0789703252422608,5,0.0,0.0,5,2.6581653018404507,0.1456937244211893,5
10,chain_length,4,GREEDY,0.1857044421243461,0.0190878327017504,5,3.580933888822164,0.0280561606756396,5,0.1472243284217222,0.0210603961705181,5,0.0384801137026239,0.003314986058836,5,0.9024762795555554,0.0788058883254647,5,0.0,0.0,5,2.652411678200433,0.1124498061657385,5
11,chain_length,4,LEGO,0.1412479373493383,0.1578130797281484,5,3.589158899016545,0.022897163894146,5,0.2140801330410642,0.1576916600407194,5,0.0286842944606413,0.0033434012753785,5,0.8912467878921433,0.0725313215464251,5,4785.788443033914,10701.34828455671,5,-4783.413106272406,10702.147088835383,5
12,chain_length,4,Ours,0.0790970129640996,0.0261210433558654,5,2.811650358574088,0.2851885881734057,5,0.0437681148906743,0.0201873925079432,5,0.0353288980734252,0.0073048413884563,5,0.9626606351111112,0.037158701257434,5,400.0,547.7225575051662,5,-397.5838347062464,547.8893385402353,5
13,chain_length,4,RLS,0.6172386640954136,0.0160549153809758,5,3.581418571362023,0.0320468561152302,5,0.1477855620435863,0.0172331754200159,5,0.0383199996760609,0.0018171701636505,5,0.8952749691501669,0.0783825655812415,5,0.0,0.0,5,2.6508907627637868,0.1001455275228925,5
14,chain_length,5,CDS,0.4100832539316357,0.1418609851659913,5,4.4704175135317765,0.0598905260954833,5,0.3264273686076321,0.1439692370204264,5,0.0447060322707595,0.008308727693063,5,0.9640653826666666,0.0231305706559404,5,54848.993516417846,110907.48829213796,5,-54846.37876590871,110908.02220035432,5
15,chain_length,5,DRS,1.2267296287827052,0.1967549242046653,5,4.472580846234801,0.0660993372587973,5,0.361408251425195,0.1985816129855328,5,0.0521642014954742,0.0034059327738046,5,0.9348195226781739,0.0243684111075965,5,56338.334848693295,110400.10809367808,5,-56335.93013011166,110400.72400643471,5
16,chain_length,5,FFD,0.3735295519600152,0.1425477877925699,5,4.469878138484248,0.0609834650978047,5,0.3256776062693422,0.1460074393061625,5,0.0478519456906729,0.0121023210191771,5,0.9413007250066315,0.0228103000117546,5,54848.993516417846,110907.48829213796,5,-54846.391286039165,110908.02178116562,5
17,chain_length,5,GREEDY,0.4771479412886801,0.140016263854536,5,4.4694830158430205,0.0619045640011421,5,0.4260222590769525,0.1395631041287236,5,0.0511256822117276,0.0040329366184453,5,0.9235339062222222,0.0383916741284596,5,50110.9049309063,34512.39118577176,5,-50108.8211875969,34512.955119246595,5
18,chain_length,5,LEGO,0.2419059465781008,0.1418609851659913,5,4.4704175135317765,0.0598905260954833,5,0.3264273686076321,0.1439692370204264,5,0.0447060322707595,0.008308727693063,5,0.9478702152220926,0.0231305706559404,5,54848.993516417846,110907.48829213796,5,-54846.37876590871,110908.02220035432,5
19,chain_length,5,Ours,0.1323991245099127,0.0136008455786522,5,3.515240017658024,0.1876253146494414,5,0.063198814876305,0.0097141211901853,5,0.0482659257760334,0.0048536771702064,5,0.9639164511111112,0.0156529670785884,5,600.0,547.7225575051662,5,-597.0420836856036,547.8134371129214,5
20,chain_length,5,RLS,0.8356420219702765,0.1539683612637195,5,4.473735566305043,0.0576029074314666,5,0.456416864069923,0.1562194917297249,5,0.0509362182867637,0.0114581121998961,5,0.9142769587089006,0.0325830542779202,5,36009.24074570635,26473.18873676635,5,-36007.30377555183,26473.95038881104,5
21,chain_length,6,CDS,1.199521456545603,1.1816099005409155,5,5.340469202235804,0.0222455171878599,5,1.1436259793833097,1.1742246641056218,5,0.0558954771622934,0.0094038248212328,5,0.9696092426666668,0.0216485928998881,5,491309.5360983338,519535.48780517565,5,-491310.1932364144,519541.0575502351,5
22,chain_length,6,DRS,2.0476251021850675,1.1459635119730212,5,5.304864630193328,0.144399511100996,5,1.1153831507393857,1.1470669524218464,5,0.0621828273404599,0.0064077298431086,5,0.960463976888889,0.0229753955298721,5,474883.5983900314,557092.7972167264,5,-474884.1813552916,557098.2236145898,5
23,chain_length,6,FFD,1.1138612732137638,1.1728185896817245,5,5.183201125810004,0.2474484993746506,5,1.0653299293848035,1.1631460650663434,5,0.0485313438289601,0.0126107787359029,5,0.9643406311111112,0.0187414271695979,5,359899.5164737098,492365.6575657097,5,-359899.90257895004,492371.21141958894,5
24,chain_length,6,GREEDY,1.3499841766365035,1.162542267671952,5,5.3428302822681015,0.0168147476335649,5,1.2816631123021986,1.1625028923185496,5,0.0683210643343051,0.0019184806016873,5,0.9282418462222224,0.0382133942161438,5,681919.4684640968,643622.3384114072,5,-681920.8755546977,643627.8402183615,5
25,chain_length,6,LEGO,0.8479686304619136,1.1816099005409155,5,5.340469202235804,0.0222455171878599,5,1.1436259793833097,1.1742246641056218,5,0.0558954771622934,0.0094038248212328,5,0.9696092426666668,0.0216485928998881,5,491309.5360983338,519535.48780517565,5,-491310.1932364144,519541.0575502351,5
26,chain_length,6,Ours,0.2518968795978052,0.0179014017569366,5,4.075104839556909,0.2256179868392526,5,0.0666151134142752,0.0123116238709994,5,0.0556225920877651,0.0081554514460392,5,0.9696604062222224,0.0265481456041723,5,800.0,447.21359549995793,5,-796.5360836879534,447.3601267605763,5
27,chain_length,6,RLS,1.6880302686602786,0.9966463350879278,5,5.348782645752091,0.035111946088401,5,1.2152218460068849,0.992688202364546,5,0.0664713071590541,0.0057507735793169,5,0.954004052,0.0217060008305151,5,550450.1978797859,492857.44426078006,5,-550451.257562906,492862.1849896199,5
28,chain_length,7,CDS,1.943682388988322,1.4758615544647968,5,6.165332141991521,0.1362718198368515,5,2.086240674268968,1.4664209011687326,5,0.0768407548500881,0.0103504670145783,5,0.9632000537777776,0.0174277546184137,5,1627233.8795461082,1205047.6743780945,5,-1627238.529621112,1205054.131692022,5
29,chain_length,7,DRS,3.2319964266513765,1.498594780265752,5,6.151926736490848,0.1304006244695968,5,2.045795895627007,1.4925583439861303,5,0.0781623835978836,0.0079860585441454,5,0.952620996,0.0435344073795111,5,1587726.270018438,1339404.6277721098,5,-1587730.7378830975,1339411.152654132,5
30,chain_length,7,FFD,2.046065519354176,1.5622354267186414,5,6.066112728455027,0.1984705378971844,5,2.194678480371018,1.5500592299134162,5,0.0738963835978836,0.0144700686167961,5,0.972001166222222,0.0110006021295733,5,1537364.7902284595,1260023.9458738884,5,-1537370.066990051,1260030.3509242442,5
31,chain_length,7,GREEDY,2.2918585650874896,1.5190806232092158,5,6.212689991021302,0.0489827491116776,5,2.210806771436696,1.5174829892564043,5,0.0810517936507936,0.0060905754571251,5,0.934721578222222,0.0413074710514856,5,1690724.480551682,1185356.3639081346,5,-1690729.7271545164,1185363.4015028302,5
32,chain_length,7,LEGO,1.362833906293353,1.4758615544647968,5,6.165332141991521,0.1362718198368515,5,2.086240674268968,1.4664209011687326,5,0.0768407548500881,0.0103504670145783,5,0.9632000537777776,0.0174277546184137,5,1627233.8795461082,1205047.6743780945,5,-1627238.529621112,1205054.131692022,5
33,chain_length,7,Ours,0.3573169845173895,0.0453374678407758,5,4.654438234692113,0.1699092955249627,5,0.0972074454652663,0.036479618506643,5,0.0655319281810656,0.010513426470527,5,0.9797093871613304,0.0394858546377139,5,800.0,447.21359549995793,5,-796.1592586335395,447.0914463579868,5
34,chain_length,7,RLS,2.9619696016066968,1.4975850635314294,5,6.161849587920955,0.1351854457387961,5,2.048334457695554,1.4922146316744724,5,0.0795151825396825,0.0100775776823976,5,0.9732581888888888,0.015226543019964,5,1599795.6359933738,1228520.2351158592,5,-1599800.113391987,1228526.8322467145,5
35,chain_length,8,CDS,3.2443448325345736,1.7228353268693746,5,7.069757090136133,0.059421897007009,5,3.883690514254007,1.7120910394939954,5,0.0816478367003367,0.014522505895593,5,0.9552549728888888,0.0257811049620271,5,4047933.286670442,2579513.098044438,5,-4047946.043605107,2579520.592003849,5
36,chain_length,8,DRS,3.709704712930678,1.891378641080124,5,7.021310688559652,0.1179435679966364,5,3.3745835774378063,1.888772557192952,5,0.0922885425364758,0.0043975630870786,5,0.9444380773333334,0.035269155704927,5,3739191.956001484,2848941.0986127225,5,-3739202.2690513935,2848950.085545205,5
37,chain_length,8,FFD,3.2493172121777447,1.7305410980773006,5,7.074216149799469,0.0605024529907424,5,3.875938098760966,1.7198346538353209,5,0.0827468389679104,0.0152507241509495,5,0.9425520733333332,0.0202109740683998,5,4091400.6214116425,2559150.001154061,5,-4091413.340620181,2559157.492181182,5
38,chain_length,8,GREEDY,3.321793179730802,1.8955492347282648,5,7.084744027123105,0.0766699371075947,5,3.22898623773946,1.8934030852987749,5,0.0928069419913419,0.0037961301185159,5,0.9424578342222224,0.0475868519929245,5,3943280.647464049,2523772.287324834,5,-3943290.171685921,2523781.3253314267,5
39,chain_length,8,LEGO,2.52906583110666,1.7228353268693746,5,7.069757090136133,0.059421897007009,5,3.883690514254007,1.7120910394939954,5,0.0816478367003367,0.014522505895593,5,0.9552549728888888,0.0257811049620271,5,4047933.286670442,2579513.098044438,5,-4047946.043605107,2579520.592003849,5
40,chain_length,8,Ours,0.4512032410107623,0.1847936810337681,5,5.045547455527269,0.1710931798389657,5,0.1593617478533411,0.1802535436078667,5,0.0697461660547817,0.0063500553089316,5,0.9622086872594984,0.0347371278087432,5,14865.739157713117,31004.73531492721,5,-14861.839149827132,31005.57747448213,5
41,chain_length,8,RLS,4.01597502352553,1.6955780470463442,5,7.072532404158042,0.0644109196453369,5,3.922061418795692,1.692368530522195,5,0.093913604729838,0.0052044359269648,5,0.9351387026666668,0.0438194563860616,5,4160697.9083130793,2487248.1336789737,5,-4160710.9156557927,2487255.6184092443,5
