Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Scale,n_nodes,n_task_types,chain_length,arrival_rate,Replicate,Replicate_Seed
our,0.046285832719217976,2.7198357832290405,0.046285832719217976,0.0,0.057906742222222224,0.0,2.4884066196329506,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
ffd-m,0.0027871363358301406,1.7806874380833788,0.0027871363358301406,0.0,0.00375574,0.0,1.766751756404228,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
cds-m,0.0027871363358301406,1.7806874380833788,0.0027871363358301406,0.0,0.00375574,0.0,1.766751756404228,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
random-m,0.02218713633583014,1.7806874380833788,0.0027871363358301406,0.0194,0.00375574,0.0,1.6697517564042281,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
greedy-m,0.025387136335830143,1.7806874380833788,0.0027871363358301406,0.022600000000000002,0.00375574,0.0,1.6537517564042281,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
lego,0.0027871363358301406,1.7806874380833788,0.0027871363358301406,0.0,0.00375574,0.0,1.766751756404228,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
drs,0.02218713633583014,1.7806874380833788,0.0027871363358301406,0.0194,0.00375574,0.0,1.6697517564042281,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,4,46
our,0.05557722530833474,2.672324893111536,0.05557722530833474,0.0,0.057863422222222224,0.0,2.3944387665698623,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
ffd-m,0.002807722127005972,1.7405905979972616,0.002807722127005972,0.0,0.00375574,0.0,1.7265519873622317,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
cds-m,0.002807722127005972,1.7405905979972616,0.002807722127005972,0.0,0.00375574,0.0,1.7265519873622317,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
random-m,0.011207722127005972,1.7405905979972616,0.002807722127005972,0.0084,0.00375574,0.0,1.6845519873622317,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
greedy-m,0.026807722127005974,1.7405905979972616,0.002807722127005972,0.024,0.00375574,0.0,1.6065519873622316,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
lego,0.002807722127005972,1.7405905979972616,0.002807722127005972,0.0,0.00375574,0.0,1.7265519873622317,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
drs,0.022007722127005976,1.7405905979972616,0.002807722127005972,0.019200000000000002,0.00375574,0.0,1.6305519873622316,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,5,47
our,0.0843522327928903,2.709739775749438,0.0843522327928903,0.0,0.04342720666666667,0.0,2.2879786117849865,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
ffd-m,0.0027585313075488734,1.7499387657569043,0.0027585313075488734,0.0,0.00375574,0.0,1.73614610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
cds-m,0.0027585313075488734,1.7499387657569043,0.0027585313075488734,0.0,0.00375574,0.0,1.73614610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
random-m,0.026158531307548874,1.7499387657569043,0.0027585313075488734,0.0234,0.00375574,0.0,1.61914610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
greedy-m,0.03575853130754887,1.7499387657569043,0.0027585313075488734,0.033,0.00375574,0.0,1.57114610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
lego,0.0027585313075488734,1.7499387657569043,0.0027585313075488734,0.0,0.00375574,0.0,1.73614610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
drs,0.029358531307548872,1.7499387657569043,0.0027585313075488734,0.0266,0.00375574,0.0,1.60314610921916,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,6,48
our,0.049396111436497483,2.7059333015904175,0.049396111436497483,0.0,0.05793866222222222,0.0,2.45895274440793,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
ffd-m,0.002763093887389358,1.7378186067094765,0.002763093887389358,0.0,0.00375574,0.0,1.7240031372725297,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
cds-m,0.002763093887389358,1.7378186067094765,0.002763093887389358,0.0,0.00375574,0.0,1.7240031372725297,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
random-m,0.018963093887389357,1.7378186067094765,0.002763093887389358,0.0162,0.00375574,0.0,1.6430031372725298,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
greedy-m,0.034363093887389354,1.7378186067094765,0.002763093887389358,0.031599999999999996,0.00375574,0.0,1.5660031372725298,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
lego,0.002763093887389358,1.7378186067094765,0.002763093887389358,0.0,0.00375574,0.0,1.7240031372725297,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
drs,0.018963093887389357,1.7378186067094765,0.002763093887389358,0.0162,0.00375574,0.0,1.6430031372725298,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,7,49
our,0.07497017040563703,2.699501269716612,0.07497017040563703,0.0,0.04342720666666667,0.0,2.3246504176884266,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
ffd-m,0.002754325656019972,1.7432467623767183,0.002754325656019972,0.0,0.00375574,0.0,1.7294751340966183,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
cds-m,0.002754325656019972,1.7432467623767183,0.002754325656019972,0.0,0.00375574,0.0,1.7294751340966183,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
random-m,0.03335432565601997,1.7432467623767183,0.002754325656019972,0.0306,0.00375574,0.0,1.5764751340966183,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
greedy-m,0.03335432565601997,1.7432467623767183,0.002754325656019972,0.0306,0.00375574,0.0,1.5764751340966183,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
lego,0.002754325656019972,1.7432467623767183,0.002754325656019972,0.0,0.00375574,0.0,1.7294751340966183,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
drs,0.02335432565601997,1.7432467623767183,0.002754325656019972,0.020599999999999997,0.00375574,0.0,1.6264751340966184,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,8,50
our,0.08552296207282208,2.708610236085881,0.08552296207282208,0.0,0.04342720666666667,0.0,2.2809954257217706,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
ffd-m,0.0027579754268955707,1.756407315097929,0.0027579754268955707,0.0,0.00375574,0.0,1.7426174379634511,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
cds-m,0.0027579754268955707,1.756407315097929,0.0027579754268955707,0.0,0.00375574,0.0,1.7426174379634511,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
random-m,0.0027579754268955707,1.756407315097929,0.0027579754268955707,0.0,0.00375574,0.0,1.7426174379634511,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
greedy-m,0.024557975426895574,1.756407315097929,0.0027579754268955707,0.021800000000000003,0.00375574,0.0,1.633617437963451,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
lego,0.0027579754268955707,1.756407315097929,0.0027579754268955707,0.0,0.00375574,0.0,1.7426174379634511,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
drs,0.024557975426895574,1.756407315097929,0.0027579754268955707,0.021800000000000003,0.00375574,0.0,1.633617437963451,"{'congested': False, 'oom': False}",scale_stability,small,small,3,3,3,100,9,51
