Scale,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Total_Delay_D_count,Avg_QoS_Q_mean,Avg_QoS_Q_std,Avg_QoS_Q_count,Comp_Delay_mean,Comp_Delay_std,Comp_Delay_count,Comm_Delay_mean,Comm_Delay_std,Comm_Delay_count,Mem_Utilization_mean,Mem_Utilization_std,Mem_Utilization_count,Penalty_Score_mean,Penalty_Score_std,Penalty_Score_count,Fitness_mean,Fitness_std,Fitness_count
large,cds-m,0.25229594027337443,0.04951907331410023,10,4.191376383957232,0.20537708472683386,10,0.2036938327219941,0.034881756468826935,10,0.04860210755138034,0.017004651086771617,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.92989668259036,0.20962695245315474,10
large,drs,0.2949514346278358,0.037419612621976864,10,4.191376383957232,0.2053770847268339,10,0.2036938327219941,0.03488175646882691,10,0.09125760190584171,0.008249233261340638,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.7166192108180534,0.18539265596283117,10
large,ffd-m,0.2538659130624901,0.05088639123080715,10,4.191376383957232,0.20537708472683386,10,0.2036938327219941,0.034881756468826935,10,0.050172080340495986,0.019182687774305172,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.9220468186447817,0.2134927481640589,10
large,greedy-m,0.2943888433274003,0.03828880700290295,10,4.191376383957232,0.20537708472683394,10,0.2036938327219941,0.03488175646882692,10,0.09069501060540618,0.01219259685783685,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.719432167320231,0.18948282110669223,10
large,lego,0.25229594027337443,0.04951907331410023,10,4.191376383957232,0.20537708472683386,10,0.2036938327219941,0.034881756468826935,10,0.04860210755138034,0.017004651086771617,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.92989668259036,0.20962695245315474,10
large,our,0.4788675969721112,0.06896361492469025,10,6.271603548901634,0.049721586433375195,10,0.39892198109100424,0.06022130766554815,10,0.07994561588110691,0.013327051843645818,10,0.7202557142857142,0.09572162773811901,10,0.0,0.0,10,3.8772655640410782,0.3765054919541378,10
large,random-m,0.2941050719276234,0.03838754518911548,10,4.191376383957232,0.2053770847268339,10,0.2036938327219941,0.03488175646882692,10,0.09041123920562935,0.010509111757593184,10,0.40089239457142856,0.07530872469219137,10,0.0,0.0,10,2.7208510243191153,0.18474248680943253,10
medium,cds-m,0.05538503107203674,0.029496243059319454,10,2.381279475128384,0.193533300175238,10,0.05538503107203674,0.029496243059319454,10,0.0,0.0,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,2.1043543197682006,0.17885364360407002,10
medium,drs,0.10843310499493922,0.030833006740493333,10,2.381279475128384,0.193533300175238,10,0.05538503107203672,0.029496243059319433,10,0.05304807392290249,0.00868849098208093,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,1.839113950153688,0.19808545130077482,10
medium,ffd-m,0.05538503107203674,0.029496243059319454,10,2.381279475128384,0.193533300175238,10,0.05538503107203674,0.029496243059319454,10,0.0,0.0,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,2.1043543197682006,0.17885364360407002,10
medium,greedy-m,0.11524793356636778,0.026747105692584306,10,2.381279475128384,0.193533300175238,10,0.05538503107203672,0.029496243059319433,10,0.05986290249433106,0.008946011522773951,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,1.805039807296545,0.1670265457867755,10
medium,lego,0.05538503107203674,0.029496243059319454,10,2.381279475128384,0.193533300175238,10,0.05538503107203674,0.029496243059319454,10,0.0,0.0,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,2.1043543197682006,0.17885364360407002,10
medium,our,0.21371426713684896,0.0605968940741671,10,4.493086681968624,0.05202272964701142,10,0.18844596857297893,0.046935155957742496,10,0.025268298563869994,0.01758748060805187,10,0.2744184936,0.051981819826872055,10,0.0,0.0,10,3.424515346284379,0.3409528829501634,10
medium,random-m,0.11236471497226348,0.025444610149282634,10,2.381279475128384,0.193533300175238,10,0.05538503107203672,0.029496243059319437,10,0.056979683900226764,0.005541763544300721,10,0.0875328976,0.03014723490449982,10,0.0,0.0,10,1.8194559002670665,0.17580666463878042,10
small,cds-m,0.002780628952335704,2.595754575860523e-05,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.0,0.0,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.7232899615390043,0.02478695024678956,10
small,drs,0.021580628952335704,0.0041619183203182655,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.0188,0.004164399383131044,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.6292899615390042,0.02867784318056878,10
small,ffd-m,0.002780628952335704,2.595754575860523e-05,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.0,0.0,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.7232899615390043,0.02478695024678956,10
small,greedy-m,0.0295806289523357,0.004009451383087882,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.0268,0.004023265671897228,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.5892899615390041,0.032431957169897614,10
small,lego,0.002780628952335704,2.595754575860523e-05,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.0,0.0,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.7232899615390043,0.02478695024678956,10
small,our,0.06377850303828543,0.017615935105587465,10,2.697289797676692,0.01631879513954976,10,0.06377850303828543,0.017615935105587465,10,0.0,0.0,10,0.053559461555555556,0.009769408290635183,10,0.0,0.0,10,2.3783972824852646,0.08755414697125409,10
small,random-m,0.022700628952335704,0.009463257005329377,10,1.7371931063006827,0.024719314844107883,10,0.002780628952335704,2.595754575860523e-05,10,0.01992,0.009463943270234781,10,0.0037557399999999996,0.0,10,0.0,0.0,10,1.6236899615390041,0.059771742491174035,10
