Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Replicate,Replicate_Seed
lego,2.6455965510776354,4.470405259875499,2.585229884410969,0.06036666666666666,0.9360177,6064469.25794282,-6064478.015520316,"{'congested': True, 'oom': False}",arrival_rate,600,0,42
drs,1.7649658276269726,3.911549489548487,1.728159160960306,0.03680666666666667,0.9215062444444444,3643546.2857802915,-3643551.19905994,"{'congested': True, 'oom': False}",arrival_rate,600,0,42
our,0.8815095496263895,3.054802862000991,0.8409648976584595,0.040544651967930036,0.9470358022222222,29054.630773295008,-29055.98351818114,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
ffd-m,2.7222343823304738,4.4878390220487105,2.6603915251876167,0.06184285714285714,0.9360856911111111,7792185.026803501,-7792194.150136391,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
cds-m,2.7222343823304738,4.4878390220487105,2.6603915251876167,0.06184285714285714,0.9360856911111111,7792185.026803501,-7792194.150136391,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
random-m,2.4983006437023,4.470328386062892,2.442721500845157,0.05557914285714284,0.9731525444444444,7673296.137914609,-7673304.159089441,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
greedy-m,2.5773224719580043,4.477332640457219,2.522591900529433,0.05473057142857141,0.9863763666666666,7673296.137914609,-7673304.547194328,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
lego,2.7222343823304738,4.4878390220487105,2.6603915251876167,0.06184285714285714,0.9360856911111111,7792185.026803501,-7792194.150136391,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
drs,2.4939113738610295,4.470328386062891,2.4427215008451566,0.05118987301587302,0.9731525444444444,7673296.137914609,-7673304.137143092,"{'congested': True, 'oom': False}",arrival_rate,700,0,42
our,0.8516357304388107,3.158738793185455,0.8110539277177222,0.04058180272108843,0.8979283311111111,642768.9164875809,-642770.0159274399,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
ffd-m,3.1229691059111127,4.472157959982116,3.061744105911113,0.061225,0.9467728911111111,9195173.086698217,-9195184.229385788,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
cds-m,3.1229691059111127,4.472157959982116,3.061744105911113,0.061225,0.9467728911111111,9195173.086698217,-9195184.229385788,"{'congested': True, 'oom': False}",arrival_rate,800,0,42
