Algorithm,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value
ffd-m,0.7790489305158117,3.5423553192217794,0.7512339305158117,0.027815000000000003,0.9824704644444444,198052.13454681728,-198052.48743615064,"{'congested': True, 'oom': False}",arrival_rate,600
cds-m,1.1369650786437242,3.550516257495992,1.0997095230881686,0.03725555555555556,0.9177002533333334,253968.41244566723,-253970.54675480296,"{'congested': True, 'oom': False}",arrival_rate,600
random-m,0.7937953590872402,3.5423553192217794,0.7512339305158117,0.042561428571428576,0.9824704644444444,198052.13454681728,-198052.5611682935,"{'congested': True, 'oom': False}",arrival_rate,600
greedy-m,0.5353507333843389,3.563071547148628,0.4906412095748151,0.04470952380952381,0.9731388888888889,145133.04348678535,-145132.15716890513,"{'congested': True, 'oom': False}",arrival_rate,600
lego,1.1369650786437242,3.550516257495992,1.0997095230881686,0.03725555555555556,0.9177002533333334,253968.41244566723,-253970.54675480296,"{'congested': True, 'oom': False}",arrival_rate,600
drs,0.7937953590872402,3.542355319221779,0.7512339305158117,0.042561428571428576,0.9824704644444444,198052.13454681728,-198052.5611682935,"{'congested': True, 'oom': False}",arrival_rate,600
our,0.14030858105910626,2.820500133868452,0.11305878514073892,0.027249795918367358,0.9802303311111111,0.0,2.1189572285729206,"{'congested': False, 'oom': False}",arrival_rate,700
ffd-m,1.4199440189839119,3.5308823067465336,1.387829733269626,0.03211428571428571,0.9705342755555556,439880.87230218167,-439884.44113996986,"{'congested': True, 'oom': False}",arrival_rate,700
cds-m,1.4199440189839119,3.5308823067465336,1.387829733269626,0.03211428571428571,0.9705342755555556,439880.87230218167,-439884.44113996986,"{'congested': True, 'oom': False}",arrival_rate,700
random-m,1.4479465493398347,3.536538078519149,1.404896152514438,0.04305039682539683,0.9837580977777778,439880.87230218167,-439884.57549684984,"{'congested': True, 'oom': False}",arrival_rate,700
greedy-m,0.7752963426320577,3.550363298407766,0.7328165807272958,0.04247976190476191,0.9901184511111111,194026.4568095397,-194026.78292795445,"{'congested': True, 'oom': False}",arrival_rate,700
lego,1.4199440189839119,3.5308823067465336,1.387829733269626,0.03211428571428571,0.9705342755555556,439880.87230218167,-439884.44113996986,"{'congested': True, 'oom': False}",arrival_rate,700
drs,1.4504354382287237,3.536538078519149,1.404896152514438,0.04553928571428572,0.9837580977777778,439880.87230218167,-439884.5879412943,"{'congested': True, 'oom': False}",arrival_rate,700
our,1.0119238785645448,2.9543268445189566,0.9727729261835925,0.039150952380952384,0.9804222266666667,144663.3436828427,-144665.44897539102,"{'congested': True, 'oom': False}",arrival_rate,800
ffd-m,1.834738107139844,3.531055558534407,1.8008181071398441,0.033920000000000006,0.9705023555555555,600403.9432036865,-600409.5858386636,"{'congested': True, 'oom': False}",arrival_rate,800
cds-m,1.831478107139844,3.531055558534407,1.8008181071398441,0.03066,0.9705023555555555,600403.9432036865,-600409.5695386637,"{'congested': True, 'oom': False}",arrival_rate,800
random-m,0.9417529927084977,3.537960967843356,0.9008085482640532,0.04094444444444444,0.9925546377777777,357165.50787486107,-357166.67867885676,"{'congested': True, 'oom': False}",arrival_rate,800
greedy-m,0.9429418815973866,3.537960967843356,0.9008085482640532,0.04213333333333333,0.9925546377777777,357165.50787486107,-357166.6846233012,"{'congested': True, 'oom': False}",arrival_rate,800
lego,1.831478107139844,3.531055558534407,1.8008181071398441,0.03066,0.9705023555555555,600403.9432036865,-600409.5695386637,"{'congested': True, 'oom': False}",arrival_rate,800
drs,1.5793405849301747,3.537960967843356,1.5386405849301747,0.0407,0.9347231355555555,598994.2456302256,-598998.6043721824,"{'congested': True, 'oom': False}",arrival_rate,800
