Scale,Algorithm,Failure_Rate,Total_Delay_D_cv,Avg_QoS_Q_cv,Comp_Delay_cv,Comm_Delay_cv,Mem_Utilization_cv,Penalty_Score_cv,Fitness_cv,Runs
large,cds-m,0.0,0.19627376191802373,0.04899991456575652,0.1712460117358307,0.34987476764860315,0.1878527148730264,0.0,0.07154755787081912,10
large,drs,0.0,0.12686703039499445,0.048999914565756524,0.17124601173583057,0.0903950256095057,0.1878527148730264,0.0,0.06824388755868513,10
large,ffd-m,0.0,0.20044593863328652,0.04899991456575652,0.1712460117358307,0.3823378987700062,0.1878527148730264,0.0,0.0730627404057389,10
large,greedy-m,0.0,0.1300620178745042,0.04899991456575654,0.17124601173583062,0.1344351445184138,0.1878527148730264,0.0,0.06967734786097328,10
large,lego,0.0,0.19627376191802373,0.04899991456575652,0.1712460117358307,0.34987476764860315,0.1878527148730264,0.0,0.07154755787081912,10
large,our,0.0,0.144013951582334,0.007928049986846361,0.15096011380684018,0.16670147195395268,0.13289950477247825,0.0,0.09710593348208141,10
large,random-m,0.0,0.13052323422209566,0.048999914565756524,0.17124601173583062,0.11623678482817262,0.1878527148730264,0.0,0.06789878797412797,10
medium,cds-m,0.0,0.5325670580730569,0.0812728208497257,0.5325670580730569,0.0,0.3444103386393531,0.0,0.08499217167181768,10
medium,drs,0.0,0.2843504918717616,0.0812728208497257,0.5325670580730568,0.163785229878626,0.3444103386393531,0.0,0.10770700275761681,10
medium,ffd-m,0.0,0.5325670580730569,0.0812728208497257,0.5325670580730569,0.0,0.3444103386393531,0.0,0.08499217167181768,10
medium,greedy-m,0.0,0.2320831694321136,0.0812728208497257,0.5325670580730568,0.14944166002677747,0.3444103386393531,0.0,0.09253344170671532,10
medium,lego,0.0,0.5325670580730569,0.0812728208497257,0.5325670580730569,0.0,0.3444103386393531,0.0,0.08499217167181768,10
medium,our,0.0,0.283541641304484,0.011578394393276632,0.24906426130079853,0.6960294759695225,0.1894253522965628,0.0,0.09956237554026424,10
medium,random-m,0.0,0.2264466221051998,0.0812728208497257,0.5325670580730568,0.09725858700803824,0.3444103386393531,0.0,0.09662595538203199,10
small,cds-m,0.0,0.009335134677642309,0.014229457136603058,0.009335134677642309,0.0,0.0,0.0,0.014383505271888941,10
small,drs,0.0,0.19285435700277934,0.014229457136603058,0.009335134677642309,0.22151060548569385,0.0,0.0,0.01760143612097143,10
small,ffd-m,0.0,0.009335134677642309,0.014229457136603058,0.009335134677642309,0.0,0.0,0.0,0.014383505271888941,10
small,greedy-m,0.0,0.1355431417482181,0.014229457136603058,0.009335134677642309,0.15012185342900103,0.0,0.0,0.020406570201004615,10
small,lego,0.0,0.009335134677642309,0.014229457136603058,0.009335134677642309,0.0,0.0,0.0,0.014383505271888941,10
small,our,0.0,0.2762049008113728,0.006050071131995509,0.2762049008113728,0.0,0.18240303406526373,0.0,0.03681224647203007,10
small,random-m,0.0,0.41687201818061026,0.014229457136603058,0.009335134677642309,0.47509755372664564,0.0,0.0,0.036812288002642926,10
