Scale,Algorithm,Failure_Rate,Total_Delay_D_cv,Avg_QoS_Q_cv,Comp_Delay_cv,Comm_Delay_cv,Mem_Utilization_cv,Penalty_Score_cv,Fitness_cv,Runs
large,cds-m,0.0,0.24350277572614673,0.06189470121208562,0.24798292612281508,0.31215598539412287,0.18798426243597924,0.0,0.080765443181272,100
large,drs,0.0,0.18391938443038558,0.06189470121208564,0.24798292612281514,0.09281492194106374,0.18798426243597924,0.0,0.08668489351946103,100
large,ffd-m,0.0,0.250129922105849,0.06189470121208564,0.24798292612281503,0.3377990239850039,0.18798426243597924,0.0,0.08332130905966549,100
large,greedy-m,0.0,0.17928745716091046,0.06189470121208564,0.24798292612281517,0.1038901901030654,0.18798426243597924,0.0,0.08686551645744549,100
large,lego,0.0,0.24350277572614673,0.06189470121208562,0.24798292612281508,0.31215598539412287,0.18798426243597924,0.0,0.080765443181272,100
large,our,0.0,0.14249777995827112,0.017951734233430036,0.14963810594925628,0.1541842538162511,0.15689303373481242,0.0,0.09837315595221233,100
large,random-m,0.0,0.17457891878072912,0.06189470121208564,0.24798292612281522,0.0711845134397493,0.18798426243597924,0.0,0.08452467973688456,100
medium,cds-m,0.0,0.4871462416082983,0.07492247811728717,0.4719755354603623,7.09295776673729,0.31104070858158633,0.0,0.10002817967932741,100
medium,drs,0.0,0.28263922850594386,0.07492247811728717,0.4719755354603624,0.155831608180013,0.31104070858158633,0.0,0.1215917255902332,100
medium,ffd-m,0.0,0.4719755354603623,0.07492247811728717,0.4719755354603623,0.0,0.31104070858158633,0.0,0.09766968123312803,100
medium,greedy-m,0.0,0.25433246918869334,0.07492247811728717,0.4719755354603624,0.1196734238078088,0.31104070858158633,0.0,0.11503707595152554,100
medium,lego,0.0,0.4871462416082983,0.07492247811728717,0.4719755354603623,7.09295776673729,0.31104070858158633,0.0,0.10002817967932741,100
medium,our,0.0,0.243375338190212,0.011885781762182602,0.22992046092521887,0.5033491442406532,0.1923362449773166,0.0,0.09643955225979159,100
medium,random-m,0.0,0.27977193614008816,0.07492247811728718,0.4719755354603624,0.1523338467654049,0.31104070858158633,0.0,0.11867275427848907,100
small,cds-m,0.0,0.01548248261998211,0.016353804332638843,0.01548248261998211,0.0,0.0,0.0,0.01644034432515871,100
small,drs,0.0,0.44425208169389657,0.016353804332638843,0.01548248261998211,0.5150948086659225,0.0,0.0,0.033045357915577396,100
small,ffd-m,0.0,0.01548248261998211,0.016353804332638843,0.01548248261998211,0.0,0.0,0.0,0.01644034432515871,100
small,greedy-m,0.0,0.19171548457493603,0.016353804332638843,0.01548248261998211,0.21306988487539255,0.0,0.0,0.027739461350219072,100
small,lego,0.0,0.01548248261998211,0.016353804332638843,0.01548248261998211,0.0,0.0,0.0,0.01644034432515871,100
small,our,0.0,0.2629369324779339,0.007621020827477706,0.2629369324779339,0.0,0.1364251460057199,0.0,0.032737857538160976,100
small,random-m,0.0,0.4421856395581854,0.016353804332638843,0.01548248261998211,0.5102656258208861,0.0,0.0,0.034622329479321035,100
